Model Number,Case Style,Description,Passband F1 (MHz),Passband F2 (MHz),Stopband F3 (MHz),Rejection @ F3 (dB),Stopband F4 (MHz),Rejection @ F4 (dB),Filter Type,Technology,Interface,Impedance (O)
LPJC-252R+,JC0603C,"LTCC Low Pass Filter, 2400-2500 MHz",2400,2500,4800-5000,52,7200-7500,34,Low Pass,LTCC,SMT,50
LPJC-592R+,JC0603C-1,"LTCC Low Pass Filter, 4900-5950 MHz",4900,5950,8800-12600,49,-,-,Low Pass,LTCC,SMT,50
LPNK-252R+,NK0402C-1,"LTCC Low Pass Filter, 2400-2500 MHz",2400,2500,4800-5000,42,7200-7500,40,Low Pass,LTCC,SMT,50
RLP-30+,GP1212,"Lumped LC Low Pass Filter, DC -30 MHz",DC -30,37,47-53,20,53-3000,40,Low Pass,Lumped LC,SMT,50
RLP-40+,GP731,"Lumped LC Low Pass Filter, DC -40 MHz",DC -40,56,70-80,20,80-800,40,Low Pass,Lumped LC,SMT,50
RLP-50+,GP731,"Lumped LC Low Pass Filter, DC -50 MHz",DC -50,59,78-91,20,91-1000,40,Low Pass,Lumped LC,SMT,50
RLP-70+,GP731,"Lumped LC Low Pass Filter, DC -70 MHz",DC -70,77,100-115,20,115-1000,40,Low Pass,Lumped LC,SMT,50
RLP-83+,GP731,"Lumped LC Low Pass Filter, DC -83 MHz",DC -83,93,118-135,20,135-850,40,Low Pass,Lumped LC,SMT,50
RLP-105+,GP731,"Lumped LC Low Pass Filter, DC -105 MHz",DC -105,116,145-165,20,165-1000,40,Low Pass,Lumped LC,SMT,50
RLP-120+,GP731,"Lumped LC Low Pass Filter, DC -120 MHz",DC -120,132,170-205,20,205-1000,40,Low Pass,Lumped LC,SMT,50
RLP-137+,GP731,"Lumped LC Low Pass Filter, DC -137 MHz",DC -137,150,190-215,20,215-1000,40,Low Pass,Lumped LC,SMT,50
RLP-158+,GP731,"Lumped LC Low Pass Filter, DC -158 MHz",DC -158,172,220-255,20,255-1000,40,Low Pass,Lumped LC,SMT,50
RLP-176+,GP731,"Lumped LC Low Pass Filter, DC -176 MHz",DC -176,191,245-285,20,285-1000,40,Low Pass,Lumped LC,SMT,50
RLP-190+,GP731,"Lumped LC Low Pass Filter, DC -190 MHz",DC -190,220,264-300,20,300-1300,40,Low Pass,Lumped LC,SMT,50
RLP-216+,GP731,"Lumped LC Low Pass Filter, DC -216 MHz",DC -216,232,295-340,20,340-1300,40,Low Pass,Lumped LC,SMT,50
RLP-264+,GP731,"Lumped LC Low Pass Filter, DC -264 MHz",DC -264,288,365-425,20,425-1500,40,Low Pass,Lumped LC,SMT,50
RLP-288+,GP731,"Lumped LC Low Pass Filter, DC -288 MHz",DC -288,310,390-455,20,455-1500,40,Low Pass,Lumped LC,SMT,50
RLP-290+,GP731,"Lumped LC Low Pass Filter, DC -290 MHz",DC -290,310,350-1600,20,-,-,Low Pass,Lumped LC,SMT,50
RLP-320+,GP731,"Lumped LC Low Pass Filter, DC -320 MHz",DC -320,345,440-510,20,510-1600,40,Low Pass,Lumped LC,SMT,50
RLP-340+,GP731,"Lumped LC Low Pass Filter, DC -340 MHz",DC -340,365,475-560,20,560-1500,40,Low Pass,Lumped LC,SMT,50
RLP-470+,GP731,"Lumped LC Low Pass Filter, DC -470 MHz",DC -470,510,650-780,20,780-2000,40,Low Pass,Lumped LC,SMT,50
RLP-900+,GP731,"Lumped LC Low Pass Filter, DC -900 MHz",DC -900,1000,1300-1750,20,1750-2900,40,Low Pass,Lumped LC,SMT,50
RLP-1094+,GP731,"Lumped LC Low Pass Filter, DC -1094 MHz",DC -1094,1380,1700-3650,20,-,-,Low Pass,Lumped LC,SMT,50
RLPF-1520+,CK605,"Lumped LC Low Pass Filter, 0.5-1520 MHz",0.5-1520,1620,1870-3200,20,-,-,Low Pass,Lumped LC,SMT,50
SALF-78+,YY101,"Lumped LC Low Pass Filter, DC -78 MHz",DC -78,93,120-136,20,136-550,40,Low Pass,Lumped LC,SMT,50
SALF-116+,YY101,"Lumped LC Low Pass Filter, DC -116 MHz",DC -116,142,182-220,20,220-825,40,Low Pass,Lumped LC,SMT,50
SALF-146+,YY101,"Lumped LC Low Pass Filter, DC -146 MHz",DC -146,171,210-240,20,240-850,40,Low Pass,Lumped LC,SMT,50
SALF-396+,YY101,"Lumped LC Low Pass Filter, DC -396 MHz",DC -396,458,570-620,20,620-1430,40,Low Pass,Lumped LC,SMT,50
SALF-800+,YY101,"Lumped LC Low Pass Filter, DC -800 MHz",DC -800,935,1200-1330,20,1330-2550,40,Low Pass,Lumped LC,SMT,50
SALF-865+,YY101,"Lumped LC Low Pass Filter, DC -865 MHz",DC -865,980,1300-1400,20,1400-2550,40,Low Pass,Lumped LC,SMT,50
SCLF-4.7+,YY161,"Lumped LC Low Pass Filter, DC -4.7 MHz",DC -4.7,5.6,6.6-7.4,20,7.4-600,40,Low Pass,Lumped LC,SMT,50
SCLF-5+,YY161,"Lumped LC Low Pass Filter, DC -5 MHz",DC -5,5.8,8.0-10.0,20,10.0-200,40,Low Pass,Lumped LC,SMT,50
SCLF-8+,YY161,"Lumped LC Low Pass Filter, DC -8 MHz",DC -8,9.2,12.5-16.5,20,16.5-200,40,Low Pass,Lumped LC,SMT,50
SCLF-10+,YY161,"Lumped LC Low Pass Filter, DC -10 MHz",DC -10,12.2,14.0-16.0,20,16.0-230,40,Low Pass,Lumped LC,SMT,50
SCLF-10.7+,YY161,"Lumped LC Low Pass Filter, DC -11 MHz",DC -11,14,19.0-24.0,20,24.0-200,40,Low Pass,Lumped LC,SMT,50
SCLF-21.4+,YY161,"Lumped LC Low Pass Filter, DC -22 MHz",DC -22,24.5,32.0-41.0,20,41.0-200,40,Low Pass,Lumped LC,SMT,50
SCLF-25+,YY161,"Lumped LC Low Pass Filter, DC -25 MHz",DC -25,28,36.0-47.0,20,47.0-200,40,Low Pass,Lumped LC,SMT,50
SCLF-27+,YY161,"Lumped LC Low Pass Filter, DC -27 MHz",DC -27,30,36.0-41.0,20,41.0-480,40,Low Pass,Lumped LC,SMT,50
SCLF-30+,YY161,"Lumped LC Low Pass Filter, DC -30 MHz",DC -30,35,47-61.0,20,61.0-200,40,Low Pass,Lumped LC,SMT,50
SCLF-36+,YY161,"Lumped LC Low Pass Filter, DC -36 MHz",DC -36,40,50-57.0,20,57.0-390,40,Low Pass,Lumped LC,SMT,50
SCLF-44+,YY161,"Lumped LC Low Pass Filter, DC -44 MHz",DC -44,48.5,59-65.5,20,66.5-420,40,Low Pass,Lumped LC,SMT,50
SCLF-45+,YY161,"Lumped LC Low Pass Filter, DC -45 MHz",DC -45,55,70-90.0,20,90.0-200,40,Low Pass,Lumped LC,SMT,50
SCLF-65+,YY161,"Lumped LC Low Pass Filter, DC -65 MHz",DC -65,71,86-96.0,20,96.0-510,40,Low Pass,Lumped LC,SMT,50
