Model Number,Case Style,Description,Passband F1 (MHz),Passband F2 (MHz),Stopband F3 (MHz),Rejection @ F3 (dB),Stopband F4 (MHz),Rejection @ F4 (dB),Filter Type,Technology,Interface,Impedance (O)
BPF-C650+,HU1186,"Lumped LC Band Pass Filter, 560-780 MHz",560,780,DC-365,20,965-2700,20,Band Pass,Lumped LC,SMT,50
BPF-C670+,HU1186,"Lumped LC Band Pass Filter, 470-870 MHz",470,870,280,20,890,20,Band Pass,Lumped LC,SMT,50
BPF-E16+,HR1176,"Lumped LC Band Pass Filter, 2-30 MHz",2,30,DC-1.4,20,35-500,20,Band Pass,Lumped LC,SMT,50
BPF-F100+,HP1156,"Lumped LC Band Pass Filter, 95-105 MHz",95,105,DC-85,35,120-900,35,Band Pass,Lumped LC,SMT,50
BPF-F150+,HP1156,"Lumped LC Band Pass Filter, 145-155 MHz",145,155,DC-133,35,170-1400,35,Band Pass,Lumped LC,SMT,50
BPF-F184+,HP1156,"Lumped LC Band Pass Filter, 154.32-214.32 MHz",154.32,214.32,DC-139,20,242-2800,20,Band Pass,Lumped LC,SMT,50
BPF-F200+,HP1156,"Lumped LC Band Pass Filter, 195-205 MHz",195,205,177 - 182,40,225 - 1600,45,Band Pass,Lumped LC,SMT,50
BPF-F598+,HP1156,"Lumped LC Band Pass Filter, 410-785 MHz",410,785,DC-385,20,825-1600,20,Band Pass,Lumped LC,SMT,50
BPF-F1250+,HP1156,"Lumped LC Band Pass Filter, 1050-1450 MHz",1050,1450,DC-960,20,1640-2500,20,Band Pass,Lumped LC,SMT,50
BPF-V300+,KV1974,"Lumped LC Band Pass Filter, 230-370 MHz",230,370,DC-170,20,440-3000,20,Band Pass,Lumped LC,SMT,50
BPF-V1000+,KV1974,"Lumped LC Band Pass Filter, 940-1060 MHz",940,1060,DC-860,35,1140-3000,35,Band Pass,Lumped LC,SMT,50
BPGE-252R+,GE0805C-3,"LTCC Band Pass Filter, 2400-2500 MHz",2400,2500,1200-1300,42,3600-3800,43,Band Pass,LTCC,SMT,50
